raw_affiliation,affiliation_name,wikidata
"Univ Rennes, Inria, CNRS, IRISA, M2S, Rennes, France",univ rennes,http://www.wikidata.org/entity/Q459026
"Inria, Univ. Rennes, CNRS, IRISA, France",university rennes,https://www.wikidata.org/wiki/Q1987282
"Department of Computer Science, Columbia University, USA",columbia university,http://www.wikidata.org/entity/Q49088
"Department of Human Development, Teachers College, Columbia University, USA",columbia university,http://www.wikidata.org/entity/Q49088
"University of Calgary, Calgary, Canada",university of calgary,http://www.wikidata.org/entity/Q1067471
"Stanford University, Stanford, CA, USA",stanford university,http://www.wikidata.org/entity/Q41506
"Department of Radiology & Nuclear medicine and the Department of Oral and Maxillofacial Surgery, Erasmus MC, Biomedical Imaging Group Rotterdam, Rotterdam, The Netherlands",biomedical imaging group rotterdam,http://www.wikidata.org/entity/Q42595958
"Department of Radiology & Nuclear medicine, Erasmus MC, Biomedical Imaging Group Rotterdam, Rotterdam, The Netherlands",biomedical imaging group rotterdam,http://www.wikidata.org/entity/Q42595958
"Department of Oral and Maxillofacial Surgery, Erasmus MC, Rotterdam, The Netherlands",department of oral and maxillofacial surgery,http://www.wikidata.org/entity/Q99194483
"Dept. of Comput. Sci., Michigan Technol. Univ., Houghton, MI, USA",michigan technology university,https://www.wikidata.org/wiki/Q12432
"Dept. of Comput. Sci. & Inf. Eng, Nat. Cheng Kung Univ., Tainan, Taiwan",national cheng kung university,http://www.wikidata.org/entity/Q706708
"Dept. of Comput. Sci. & Eng., Ohio State Univ., Columbus, OH, USA",ohio state university,http://www.wikidata.org/entity/Q309331
"Dept. of Eng. Math., Univ. of Bristol, Bristol, UK",university of bristol,http://www.wikidata.org/entity/Q459506
"Sch. of Biol. Sci., Univ. of Bristol, Bristol, UK",university of bristol,http://www.wikidata.org/entity/Q459506
"State Key Lab. of CAD&CG, Zhejiang Univ., Hangzhou, China",zhejiang university,http://www.wikidata.org/entity/Q197543
"Dept. of Comput. Sci. & Eng., Michigan State Univ., East Lansing, MI, USA",michigan state university,http://www.wikidata.org/entity/Q270222
"Comput. Vision Lab., ETH Zurich, Zurich, Switzerland",computing vision laboratory,https://www.wikidata.org/wiki/Q11942
"Dept. of Comput. Sci., Michigan Technol. Univ., Townsend, MA, USA",michigan technology university,https://www.wikidata.org/wiki/Q12432
"Combustion Res. Facility, Sandia Nat. Labs., Livermore, CA, USA",sandia national laboratory,https://www.wikidata.org/wiki/Q1736748
"Dept. of Comput. Sci. & Eng., Hong Kong Univ. of Sci. & Technol., Kowloon, China",hong kong university of science & technology,https://www.wikidata.org/wiki/Q1333303
"Sch. of Creative Media, City Univ. of Hong Kong, Kowloon, China",city university of hong kong,http://www.wikidata.org/entity/Q787360
"Inf. Security Centre of Excellence, Univ. of New Brunswick, Fredericton, NB, Canada",university of new brunswick,http://www.wikidata.org/entity/Q1112515
"Dept. of Comput. Sci. & Eng., Texas A&M Univ., College Station, TX, USA",texas a&m university,http://www.wikidata.org/entity/Q49212
"Dept. of Comput. Sci., Univ. of California, Davis, CA, USA",university of california,http://www.wikidata.org/entity/Q622664
"Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, USA",purdue university,http://www.wikidata.org/entity/Q217741
"Dept. of Electr. & Comput. Eng., Louisiana State Univ., Baton Rouge, LA, USA",louisiana state university,http://www.wikidata.org/entity/Q1521725
"Sch. of Math. Sci., Xiamen Univ., Xiamen, China",xiamen university,http://www.wikidata.org/entity/Q1153539
"Dept. of Comput. Sci., Xiamen Univ., Xiamen, China",xiamen university,http://www.wikidata.org/entity/Q1153539
"Media Arts & Technol. Program, Univ. of California at Santa Barbara, Santa Barbara, CA, USA",university of california at santa barbara,http://www.wikidata.org/entity/Q263064
"Dept. of Comput. Sci., Cornell Univ., Ithaca, NY, USA",cornell university,http://www.wikidata.org/entity/Q49115
"ScanlineVFX GmbH, Munich, Germany",scanlinevfx gmbh,https://www.wikidata.org/wiki/Q7430045
"Grad. Sch. of Design, Kyushu Univ., Fukuoka, Japan",kyushu university,http://www.wikidata.org/entity/Q1188786
"NVIDIA PhysX Res., Uerikon, Switzerland",nvidia physx research,https://www.wikidata.org/wiki/Q182477
"NVIDIA PhysX Res., Bangkok, Thailand",nvidia physx research,https://www.wikidata.org/wiki/Q182477
